Gameweek,FPL Average,Final Design,Dream Team,Sum FPL Average,Sum Final Design,Sum Dream Team
4,57,73,146,57,73,146
5,52,56,135,109,129,281
6,52,57,144,161,186,425
7,51,49,130,212,235,555
8,36,45,140,248,280,695
9,37,61,127,285,341,822
10,49,55,147,334,396,969
11,53,42,149,387,438,1118
12,48,65,127,435,503,1245
13,49,41,142,484,544,1387
14,51,71,144,535,615,1531
15,49,48,130,584,663,1661
16,54,43,141,638,706,1802
17,56,61,138,694,767,1940
18,38,48,135,732,815,2075
19,49,50,163,781,865,2238
20,54,76,125,835,941,2363
21,48,55,132,883,996,2495
22,57,61,139,940,1057,2634
23,44,43,133,984,1100,2767
24,53,86,144,1037,1186,2911
25,47,70,142,1084,1256,3053
26,56,76,134,1140,1332,3187
27,45,73,135,1185,1405,3322
28,26,28,120,1211,1433,3442
29,51,85,139,1262,1518,3581
