GW,player_id,position,first_name,second_name,points,opp_diff,was_home,minutes,minutes_sum,bps_sum,influence_sum,threat_sum,ict_sum,creat_sum,yel_sum,red_sum,selected_by,tran_sum,goals_sum,assists_sum,points_sum,cost_sum,saves_sum,goals_con_sum,clean_sheets_sum,season
12,454,2,Aaron,Cresswell,1,86,FALSE,90,180,25,19.8,4,3.3,9.8,0,0,37599,6357,0,0,3,159,0,3,0,1617
13,454,2,Aaron,Cresswell,1,69,FALSE,90,270,38,28.2,6,4.6,12.6,0,0,43829,5383,0,0,4,159,0,6,0,1617
15,454,2,Aaron,Cresswell,1,76,FALSE,90,180,20,18.4,8,3.1,4.5,1,0,46764,-1072,0,0,2,159,0,4,0,1617
16,454,2,Aaron,Cresswell,6,40,TRUE,90,180,19,36.6,7,5.1,7.4,1,0,43898,-3106,0,0,2,159,0,3,0,1617
17,454,2,Aaron,Cresswell,7,34,TRUE,90,180,29,34.8,19,6.6,12.9,0,0,43873,-283,0,0,7,159,0,2,1,1617
18,454,2,Aaron,Cresswell,2,41,FALSE,90,270,56,42,27,8.3,14.7,0,0,48906,4567,0,0,14,159,0,2,2,1617
19,454,2,Aaron,Cresswell,2,44,FALSE,90,270,56,36,26,8.2,20.7,0,0,55243,5658,0,0,15,159,0,1,2,1617
20,454,2,Aaron,Cresswell,1,69,TRUE,90,270,63,56,23,15,71.3,0,0,58425,2522,0,0,11,159,0,2,1,1617
21,454,2,Aaron,Cresswell,6,41,TRUE,90,270,46,54.6,15,14.1,71.4,0,0,57254,-1600,0,0,5,159,0,4,0,1617
22,454,2,Aaron,Cresswell,2,28,FALSE,90,270,54,39.4,15,12.6,71.7,0,0,56026,-1728,0,0,9,159,0,3,1,1617
23,454,2,Aaron,Cresswell,0,78,TRUE,90,270,47,26.8,6,7.3,40.7,0,0,55566,-1047,0,0,9,159,0,3,1,1617
24,454,2,Aaron,Cresswell,1,46,FALSE,90,270,41,23.2,10,7.6,43.8,0,0,55381,-840,0,0,8,159,0,5,1,1617
25,454,2,Aaron,Cresswell,1,45,TRUE,45,270,26,33.2,27,9.8,37.9,1,0,54519,-1257,0,0,3,159,0,6,0,1617
26,454,2,Aaron,Cresswell,2,40,FALSE,90,225,12,18,21,5.1,12,1,0,52834,-1974,0,0,2,158,0,6,0,1617
27,454,2,Aaron,Cresswell,1,93,TRUE,90,225,18,26,20,6.9,22.5,1,0,51271,-1758,0,0,4,157,0,3,0,1617
28,454,2,Aaron,Cresswell,1,46,FALSE,90,225,29,29.4,21,7.1,20.2,0,0,50130,-1330,0,0,4,156,0,4,0,1617
29,454,2,Aaron,Cresswell,1,44,TRUE,72,270,39,38.4,23,9.3,30.8,0,0,57325,6632,0,0,4,156,0,6,0,1617
30,454,2,Aaron,Cresswell,5,34,FALSE,67,252,37,42.6,20,9.4,30.7,0,0,63590,5713,0,0,3,156,0,8,0,1617
38,454,2,Aaron,Cresswell,2,40,FALSE,90,225,42,35.6,4,6.1,21.1,0,0,43773,-795,0,0,7,153,0,4,1,1617
22,16,3,Aaron,Ramsey,2,40,TRUE,90,199,23,20.2,64,11.3,28.9,1,0,121304,2246,0,0,5,228,0,3,1,1617
36,16,3,Aaron,Ramsey,3,69,TRUE,90,196,39,37,50,15.5,68.1,0,0,118865,235,0,1,8,228,0,3,0,1617
36,16,3,Aaron,Ramsey,3,69,TRUE,90,196,25,27.2,57,14.5,60.8,0,0,122679,3448,0,0,6,228,0,2,1,1617
36,16,3,Aaron,Ramsey,6,46,FALSE,90,196,39,37,50,15.5,68.1,0,0,118865,235,0,1,8,228,0,3,0,1617
36,16,3,Aaron,Ramsey,6,46,FALSE,90,196,25,27.2,57,14.5,60.8,0,0,122679,3448,0,0,6,228,0,2,1,1617
37,16,3,Aaron,Ramsey,3,24,TRUE,68,270,45,45.6,84,19.5,65.6,0,0,126239,6480,0,1,11,228,0,2,2,1617
37,16,3,Aaron,Ramsey,3,24,TRUE,68,194,52,57.4,79,18.6,49.2,0,0,138256,14998,0,2,13,228,0,0,2,1617
21,482,3,Abdoulaye,Doucouré,3,28,TRUE,90,180,18,8.2,43,7.1,20,1,0,2020,-2,0,0,3,138,0,6,0,1617
22,482,3,Abdoulaye,Doucouré,2,46,FALSE,87,270,27,13.6,72,12.1,35.8,1,0,2072,29,0,0,6,138,0,6,1,1617
32,482,3,Abdoulaye,Doucouré,0,86,FALSE,58,225,37,28,38,10.4,37.6,0,0,2668,154,0,0,7,138,0,1,2,1617
33,482,3,Abdoulaye,Doucouré,3,41,TRUE,90,238,31,20,35,9.3,37.6,1,0,2809,122,0,0,6,138,0,4,2,1617
34,482,3,Abdoulaye,Doucouré,2,34,FALSE,72,238,34,29.4,17,8.4,37,1,0,2843,27,0,0,6,138,0,4,2,1617
35,482,3,Abdoulaye,Doucouré,2,76,TRUE,90,220,33,26,17,7.1,27,1,0,2807,-46,0,0,5,138,0,6,1,1617
36,482,3,Abdoulaye,Doucouré,2,44,FALSE,90,252,48,36,17,8,26.2,0,0,2777,-41,0,0,7,138,0,3,1,1617
37,482,3,Abdoulaye,Doucouré,2,61,FALSE,90,252,50,35.6,8,9.5,50.6,0,0,2776,-14,0,0,6,138,0,6,0,1617
37,482,3,Abdoulaye,Doucouré,2,61,FALSE,90,270,57,45,35,14.8,67.8,0,0,2807,23,0,0,6,138,0,5,0,1617
37,482,3,Abdoulaye,Doucouré,2,93,FALSE,90,252,50,35.6,8,9.5,50.6,0,0,2776,-14,0,0,6,138,0,6,0,1617
37,482,3,Abdoulaye,Doucouré,2,93,FALSE,90,270,57,45,35,14.8,67.8,0,0,2807,23,0,0,6,138,0,5,0,1617
38,482,3,Abdoulaye,Doucouré,1,78,TRUE,90,270,51,53.4,27,14,59.3,0,0,2851,77,0,0,6,138,0,8,0,1617
4,163,4,Abel,Hernández,2,40,FALSE,90,262,32,51,116,18.9,20.7,0,0,139216,27166,1,1,13,180,0,1,2,1617
5,163,4,Abel,Hernández,2,75,TRUE,76,262,27,40.8,99,16.3,22.1,0,0,207370,45515,1,0,10,180,0,1,2,1617
6,163,4,Abel,Hernández,2,76,FALSE,90,248,4,7.6,55,9.3,30.1,0,0,254085,31635,0,0,6,180,0,3,1,1617
30,163,4,Abel,Hernández,2,45,TRUE,79,185,26,19.6,52,10.2,29.7,0,0,120855,862,0,1,8,177,0,3,1,1617
31,163,4,Abel,Hernández,14,28,TRUE,50,241,28,19.2,54,9.5,21.2,0,0,123043,1787,0,1,9,177,0,3,1,1617
32,163,4,Abel,Hernández,1,78,FALSE,33,210,56,45,86,14.8,16.5,0,0,123897,556,1,2,18,177,0,5,0,1617
4,164,4,Adama,Diomande,2,40,FALSE,69,252,40,50.8,63,16.3,48.6,0,0,401489,98549,1,0,12,136,0,2,1,1617
5,164,4,Adama,Diomande,1,75,TRUE,41,231,11,5.6,27,6.5,33.2,0,0,609130,130292,0,0,6,137,0,1,2,1617
6,164,4,Adama,Diomande,1,76,FALSE,32,200,16,12.4,15,5.8,31.5,0,0,701761,61508,0,0,5,138,0,2,1,1617
16,164,4,Adama,Diomande,2,86,FALSE,90,225,31,48.4,92,18.3,41.6,1,0,597455,-30922,1,0,8,137,0,4,0,1617
21,164,4,Adama,Diomande,2,46,TRUE,90,187,7,1.2,26,4.3,22.1,0,0,664489,9784,0,0,5,135,0,6,0,1617
4,283,3,Adam,Clayton,1,41,TRUE,56,270,24,28.8,10,4.6,7.8,1,0,54434,-747,0,0,6,135,0,2,1,1617
11,283,3,Adam,Clayton,1,78,FALSE,90,180,24,30.4,0,5.2,21.6,0,0,41332,285,0,0,6,131,0,0,2,1617
12,283,3,Adam,Clayton,1,93,TRUE,72,270,34,56.4,0,9.9,42.9,1,0,48802,6687,0,0,7,130,0,1,2,1617
13,283,3,Adam,Clayton,2,44,FALSE,90,252,40,49.4,0,9.3,43.2,2,0,62876,12684,0,0,5,129,0,2,1,1617
14,283,3,Adam,Clayton,3,34,TRUE,90,252,43,45.2,0,7.9,33.6,2,0,74293,10129,0,0,4,129,0,4,0,1617
15,283,3,Adam,Clayton,1,46,FALSE,90,252,46,29.2,1,4.9,18.6,1,0,79508,4377,0,0,6,129,0,3,1,1617
16,283,3,Adam,Clayton,1,76,TRUE,55,270,45,55.2,1,6.6,9.8,1,0,78163,-1626,0,0,6,129,0,3,1,1617
17,283,3,Adam,Clayton,6,41,TRUE,90,235,30,51.4,9,7,9.7,1,0,76855,-1523,0,0,5,129,0,2,1,1617
18,283,3,Adam,Clayton,2,40,FALSE,90,235,41,65.2,10,9.5,19.2,1,0,74961,-2061,0,1,8,129,0,2,1,1617
20,283,3,Adam,Clayton,2,44,TRUE,90,193,45,46.8,2,6.6,17.1,0,0,80556,4772,0,1,9,129,0,3,1,1617
23,283,3,Adam,Clayton,2,45,TRUE,90,180,31,30.6,2,6.1,28.1,1,0,118933,11364,0,0,4,129,0,3,1,1617
24,283,3,Adam,Clayton,2,86,FALSE,90,180,40,38.6,3,10.7,65.9,0,0,127755,8134,0,0,4,129,0,4,0,1617
25,283,3,Adam,Clayton,2,61,TRUE,90,270,51,50.4,3,12,67,0,0,126851,-1195,0,0,6,129,0,5,0,1617
27,283,3,Adam,Clayton,2,44,FALSE,90,180,21,16.6,0,2.1,4.5,1,0,135319,4068,0,0,4,129,0,1,1,1617
29,283,3,Adam,Clayton,1,69,TRUE,90,180,30,19.6,0,3.7,17.7,1,0,139411,3621,0,0,4,129,0,2,1,1617
30,283,3,Adam,Clayton,3,41,FALSE,90,180,38,32,0,5.2,20.1,1,0,134251,-2142,0,0,3,129,0,5,0,1617
31,283,3,Adam,Clayton,1,34,FALSE,90,270,43,36.8,3,7.1,31.4,1,0,127027,-4037,0,0,6,129,0,5,1,1617
32,283,3,Adam,Clayton,3,40,TRUE,90,270,34,31.6,13,6.8,23.9,2,0,120244,-3556,0,0,5,129,0,7,1,1617
33,283,3,Adam,Clayton,2,75,TRUE,90,270,28,28.4,30,9.8,39.9,1,0,118230,-2073,0,0,7,129,0,4,2,1617
34,283,3,Adam,Clayton,2,46,FALSE,90,270,39,38.6,31,12.4,54.7,1,0,117344,-947,0,0,6,129,0,6,1,1617
34,283,3,Adam,Clayton,2,46,FALSE,90,270,35,32.6,21,11.6,61.9,0,0,117478,55,0,0,7,129,0,6,1,1617
34,283,3,Adam,Clayton,5,24,TRUE,90,270,39,38.6,31,12.4,54.7,1,0,117344,-947,0,0,6,129,0,6,1,1617
34,283,3,Adam,Clayton,5,24,TRUE,90,270,35,32.6,21,11.6,61.9,0,0,117478,55,0,0,7,129,0,6,1,1617
35,283,3,Adam,Clayton,2,78,TRUE,90,270,47,49.2,4,11.1,57.6,1,0,117948,979,0,1,9,129,0,6,1,1617
36,283,3,Adam,Clayton,2,93,FALSE,90,270,39,46.2,7,8.6,32.5,1,0,117518,86,0,1,9,129,0,6,1,1617
37,283,3,Adam,Clayton,1,46,TRUE,90,270,51,56.4,7,8.7,23.8,1,0,115327,-1657,0,1,9,129,0,5,1,1617
38,283,3,Adam,Clayton,2,76,FALSE,90,270,37,38.2,9,6.8,20.9,1,0,111547,-3822,0,0,5,129,0,7,0,1617
4,286,3,Adam,Forshaw,2,41,TRUE,90,249,32,22.8,1,6.1,37.6,1,0,9005,248,0,0,6,135,0,2,1,1617
5,286,3,Adam,Forshaw,2,61,FALSE,83,270,54,31.8,21,10.5,52.7,0,0,10195,522,0,0,7,135,0,3,1,1617
7,286,3,Adam,Forshaw,2,45,FALSE,90,182,47,20,24,7.1,27.1,0,0,11962,308,0,0,5,135,0,5,0,1617
8,286,3,Adam,Forshaw,2,40,TRUE,90,182,42,18.6,4,4.9,26,0,0,12117,-73,0,0,5,135,0,4,0,1617
9,286,3,Adam,Forshaw,3,75,FALSE,90,189,40,21,12,5.4,21.5,0,0,12336,18,0,0,5,135,0,2,0,1617
10,286,3,Adam,Forshaw,3,46,TRUE,90,270,40,27.2,9,5.9,23.2,0,0,12212,-252,0,0,7,135,0,2,1,1617
11,286,3,Adam,Forshaw,1,78,FALSE,90,270,38,27.4,9,8.6,50.3,0,0,12315,-14,0,0,8,135,0,1,2,1617
12,286,3,Adam,Forshaw,2,93,TRUE,88,270,29,20.2,20,8.8,47.9,1,0,13372,859,0,0,7,135,0,1,2,1617
13,286,3,Adam,Forshaw,6,44,FALSE,90,268,41,23,31,10.3,49.1,1,0,14889,1249,0,0,6,135,0,2,1,1617
14,286,3,Adam,Forshaw,3,34,TRUE,90,268,48,37.6,35,11.8,45.1,1,0,16229,1093,0,1,9,135,0,4,0,1617
15,286,3,Adam,Forshaw,1,46,FALSE,90,268,65,51.6,25,15.3,76.6,0,0,18981,2530,0,1,11,135,0,3,1,1617
